added_route_id,trip_id
743,60397121
741,60397123
742,60397123
743,60397123
741,60397125
742,60397125
743,60397125
741,60397127
742,60397127
743,60397127
741,60397128
742,60397128
743,60397128
741,60397195
742,60397195
743,60397195
741,60397676
742,60397676
743,60397676
741,60397677
742,60397677
743,60397677
741,60397678
742,60397678
743,60397678
741,60397847
742,60397847
743,60397847
741,60397849
742,60397849
743,60397849
741,60397854
742,60397854
743,60397854
741,60398045
742,60398045
743,60398045
741,60398049
742,60398049
743,60398049
741,60398054
742,60398054
743,60398054
741,60398057
742,60398057
743,60398057
741,60398063
742,60398063
743,60398063
741,60398065
742,60398065
743,60398065
741,60398066
742,60398066
743,60398066
741,60398067
742,60398067
743,60398067
741,60398068
742,60398068
743,60398068
741,60398069
742,60398069
743,60398069
741,60398070
742,60398070
743,60398070
741,60398072
742,60398072
743,60398072
741,60438088
742,60438088
743,60438088
741,60438109
742,60438109
743,60438109
741,60438142
742,60438142
743,60438142
741,60438258
742,60438258
743,60438258
741,60438271
742,60438271
743,60438271
741,60438277
742,60438277
743,60438277
741,60438284
742,60438284
743,60438284
741,60438344
742,60438344
743,60438344
741,60438350
742,60438350
