trip_id,trip_property_id,value
60414399,note,Waits at Sullivan Square for last Orange Line train
60414399,trip_type,wait
60414469,note,Waits at Wellington for last Orange Line train
60414469,trip_type,wait
60414501,note,Waits at Sullivan Square for last Orange Line train
60414501,trip_type,wait
60414572,note,Waits at Sullivan Square for last Orange Line train
60414572,trip_type,wait
60414965,note,Waits at Sullivan Square for last Orange Line train
60414965,trip_type,wait
60415005,note,Waits at Harvard for last Red Line train
60415005,trip_type,wait
60415168,note,Waits at Malden Center for last Orange Line train
60415168,trip_type,wait
60415169,note,Waits at Wellington for last Orange Line train
60415169,trip_type,wait
60415344,note,Waits at Sullivan Square for last Orange Line train
60415344,trip_type,wait
60415375,note,Waits at Surface Rd @ Hanover St for last Orange Line and Green Line trains
60415375,trip_type,wait
60415495,note,Waits at Wellington for last Orange Line train
60415495,trip_type,wait
60415879,note,Waits at Sullivan Square for last Orange Line train
60415879,trip_type,wait
60415967,note,Waits at Malden Center for last Orange Line train
60415967,trip_type,wait
60416174,note,Waits at Sullivan Square for last Orange Line train
60416174,trip_type,wait
60416367,note,Waits at Sullivan Square for last Orange Line train
60416367,trip_type,wait
60416568,note,Waits at Surface Rd @ Hanover St for last Orange Line and Green Line trains
60416568,trip_type,wait
60416606,note,Waits at Wellington for last Orange Line train
60416606,trip_type,wait
60416644,note,Waits at Harvard for last Red Line train
60416644,trip_type,wait
60437818,note,Waits at Ruggles for last Orange Line train
60437818,trip_type,wait
60437820,note,Waits at Mattapan for last Mattapan Trolley train
60437820,trip_type,wait
60437970,note,Waits at Back Bay for last Orange Line train
60437970,trip_type,wait
60438151,note,Waits at South Station for last Red Line train
60438151,trip_type,wait
60438489,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
60438489,trip_type,wait
60438631,note,Waits at South Station for last Red Line train
60438631,trip_type,wait
60446450,note,Waits at Forest Hills for last Orange Line train
60446450,trip_type,wait
60446686,note,Waits at Forest Hills for last Orange Line train
60446686,trip_type,wait
60446766,note,Waits at Forest Hills for last Orange Line train
60446766,trip_type,wait
60446985,note,Waits at Forest Hills for last Orange Line train
60446985,trip_type,wait
60450617,note,Waits at Mattapan for last Mattapan Trolley train
60450617,note,Waits at Ashmont for last Red Line train
60450617,trip_type,wait
60450916,note,Waits at Forest Hills for last Orange Line train
60450916,trip_type,wait
60451476,note,Waits at Ashmont for last Red Line train
60451476,trip_type,wait
60451492,note,Waits at Forest Hills for last Orange Line train
60451492,trip_type,wait
60451844,note,Waits at Forest Hills for last Orange Line train
60451844,trip_type,wait
60451970,note,Does not run during school vacation
60451970,trip_type,supplemental
60451971,note,Does not run during school vacation
60451971,trip_type,supplemental
60451972,note,Does not run during school vacation
60451972,trip_type,supplemental
60451973,note,Does not run during school vacation
60451973,trip_type,supplemental
60451974,note,Does not run during school vacation
60451974,trip_type,supplemental
60451975,note,Does not run during school vacation
60451975,trip_type,supplemental
60451976,note,Does not run during school vacation
60451976,trip_type,supplemental
60451977,note,Does not run during school vacation
60451977,trip_type,supplemental
60451978,note,Does not run during school vacation
60451978,trip_type,supplemental
60451979,note,Does not run during school vacation
60451979,trip_type,supplemental
60451981,note,Does not run during school vacation
60451981,trip_type,supplemental
60451982,note,Does not run during school vacation
60451982,trip_type,supplemental
60451985,note,Does not run during school vacation
60451985,trip_type,supplemental
60451987,note,Does not run during school vacation
60451987,trip_type,supplemental
60451990,note,Does not run during school vacation
60451990,trip_type,supplemental
60451991,note,Does not run during school vacation
60451991,trip_type,supplemental
60451992,note,Does not run during school vacation
60451992,trip_type,supplemental
60451993,note,Does not run during school vacation
60451993,trip_type,supplemental
60451998,note,Does not run during school vacation
60451998,trip_type,supplemental
60451999,note,Does not run during school vacation
60451999,trip_type,supplemental
60452000,note,Does not run during school vacation
60452000,trip_type,supplemental
60452002,note,Does not run during school vacation
60452002,trip_type,supplemental
60452094,note,Waits at Forest Hills for last Orange Line train
60452094,trip_type,wait
60455653,note,Waits at Downtown Crossing for last Red Line train
60455653,trip_type,wait
60455654,note,Waits at State for last Blue Line train
60455654,note,Waits at Downtown Crossing for last Red Line train
60455654,trip_type,wait
60464624,note,Waits at Forest Hills for last Orange Line train
60464624,trip_type,wait
60464862,note,Waits at Forest Hills for last Orange Line train
60464862,trip_type,wait
60464940,note,Waits at Forest Hills for last Orange Line train
60464940,trip_type,wait
60465161,note,Waits at Forest Hills for last Orange Line train
60465161,trip_type,wait
60467745,note,Waits at Maverick for last Blue Line train
60467745,trip_type,wait
60467816,note,Does not run during school vacation
60467816,trip_type,supplemental
60467817,note,Does not run during school vacation
60467817,trip_type,supplemental
60467818,note,Does not run during school vacation
60467818,trip_type,supplemental
60467819,note,Does not run during school vacation
60467819,trip_type,supplemental
60467820,note,Does not run during school vacation
60467820,trip_type,supplemental
60467821,note,Does not run during school vacation
60467821,trip_type,supplemental
60467822,note,Does not run during school vacation
60467822,trip_type,supplemental
60467823,note,Does not run during school vacation
60467823,trip_type,supplemental
60467824,note,Does not run during school vacation
60467824,trip_type,supplemental
60467825,note,Does not run during school vacation
60467825,trip_type,supplemental
60467826,note,Does not run during school vacation
60467826,trip_type,supplemental
60467827,note,Does not run during school vacation
60467827,trip_type,supplemental
60467828,note,Does not run during school vacation
60467828,trip_type,supplemental
60467829,note,Does not run during school vacation
60467829,trip_type,supplemental
60467830,note,Does not run during school vacation
60467830,trip_type,supplemental
60467831,note,Does not run during school vacation
60467831,trip_type,supplemental
60467832,note,Does not run during school vacation
60467832,trip_type,supplemental
60467833,note,Does not run during school vacation
60467833,trip_type,supplemental
60467911,note,Does not run during school vacation
60467911,trip_type,supplemental
60468037,note,Does not run during school vacation
60468037,trip_type,supplemental
60468076,note,Waits at Congress St @ Haymarket Sta for last Orange Line and Green Line trains
60468076,trip_type,wait
60468357,note,Waits at Wonderland for last Blue Line train
60468357,trip_type,wait
60468587,note,Does not run during school vacation
60468587,trip_type,supplemental
60468598,note,Waits at Maverick for last Blue Line train
60468598,trip_type,wait
60468871,note,Waits at Maverick for last Blue Line train
60468871,trip_type,wait
60469049,note,Waits at Wonderland for last Blue Line train
60469049,trip_type,wait
60469059,note,Waits at Maverick for last Blue Line train
60469059,trip_type,wait
60469300,note,Waits at Maverick for last Blue Line train
60469300,trip_type,wait
60469514,note,Waits at Maverick for last Blue Line train
60469514,trip_type,wait
60469665,note,Waits at Wonderland for last Blue Line train
60469665,trip_type,wait
60469908,note,Waits at Maverick for last Blue Line train
60469908,trip_type,wait
60470208,note,Waits at Congress St @ Haymarket Sta for last Orange Line and Green Line trains
60470208,trip_type,wait
60470470,note,Waits at Wonderland for last Blue Line train
60470470,trip_type,wait
60470539,note,Waits at Maverick for last Blue Line train
60470539,trip_type,wait
60470989,note,Waits at Maverick for last Blue Line train
60470989,trip_type,wait
60471167,note,Waits at Wonderland for last Blue Line train
60471167,trip_type,wait
60471177,note,Waits at Maverick for last Blue Line train
60471177,trip_type,wait
60473653,note,Waits at Maverick for last Blue Line train
60473653,trip_type,wait
60473867,note,Waits at Maverick for last Blue Line train
60473867,trip_type,wait
60474018,note,Waits at Wonderland for last Blue Line train
60474018,trip_type,wait
60474785,note,Waits at Maverick for last Blue Line train
60474785,trip_type,wait
60474999,note,Waits at Maverick for last Blue Line train
60474999,trip_type,wait
60475147,note,Waits at Wonderland for last Blue Line train
60475147,trip_type,wait
60484264,note,Waits at Mattapan for last Mattapan Trolley train
60484264,note,Waits at Ashmont for last Red Line train
60484264,trip_type,wait
60484552,note,Waits at Forest Hills for last Orange Line train
60484552,trip_type,wait
60485123,note,Waits at Ashmont for last Red Line train
60485123,trip_type,wait
60485138,note,Waits at Forest Hills for last Orange Line train
60485138,trip_type,wait
60485491,note,Waits at Forest Hills for last Orange Line train
60485491,trip_type,wait
60485702,note,Waits at Forest Hills for last Orange Line train
60485702,trip_type,wait
60487448,note,Does not run during school vacation
60487448,trip_type,supplemental
60487500,note,Does not run during school vacation
60487500,trip_type,supplemental
60487516,note,Does not run during school vacation
60487516,trip_type,supplemental
60487528,note,Does not run during school vacation
60487528,trip_type,supplemental
60487530,note,Does not run during school vacation
60487530,trip_type,supplemental
60487531,note,Does not run during school vacation
60487531,trip_type,supplemental
60487532,note,Does not run during school vacation
60487532,trip_type,supplemental
60487533,note,Does not run during school vacation
60487533,trip_type,supplemental
60487551,note,Waits at Quincy Center for last Red Line train
60487551,trip_type,wait
60487993,note,Waits at Fields Corner for last Red Line train
60487993,trip_type,wait
60488058,note,Does not run during school vacation
60488058,trip_type,supplemental
60488252,note,Does not run during school vacation
60488252,trip_type,supplemental
60488253,note,Does not run during school vacation
60488253,trip_type,supplemental
60488255,note,Does not run during school vacation
60488255,trip_type,supplemental
60488256,note,Does not run during school vacation
60488256,trip_type,supplemental
60488745,note,Waits at Quincy Center for last Red Line train
60488745,trip_type,wait
60488747,note,Waits at Fields Corner for last Red Line train
60488747,trip_type,wait
60489169,note,Waits at Fields Corner for last Red Line train
60489169,trip_type,wait
60489264,note,Waits at Quincy Center for last Red Line train
60489264,trip_type,wait
60493545,note,Waits at Quincy Center for last Red Line train
60493545,trip_type,wait
60493984,note,Waits at Fields Corner for last Red Line train
60493984,trip_type,wait
60495714,note,Waits at Quincy Center for last Red Line train
60495714,trip_type,wait
60495716,note,Waits at Fields Corner for last Red Line train
60495716,trip_type,wait
60497699,note,Waits at Fields Corner for last Red Line train
60497699,trip_type,wait
60497794,note,Waits at Quincy Center for last Red Line train
60497794,trip_type,wait
60498186,note,Waits at Fields Corner for last Red Line train
60498186,trip_type,wait
60498281,note,Waits at Quincy Center for last Red Line train
60498281,trip_type,wait
60503117,note,Waits at Orient Heights for last Blue Line train
60503117,trip_type,wait
60503449,note,Waits at Orient Heights for last Blue Line train
60503449,trip_type,wait
60503450,note,Will go to Point Shirley if requested
60503669,note,Waits at Orient Heights for last Blue Line train
60503669,trip_type,wait
60503771,note,Waits at Orient Heights for last Blue Line train
60503771,trip_type,wait
60504217,note,Waits at Orient Heights for last Blue Line train
60504217,trip_type,wait
60504218,note,Will go to Point Shirley if requested
60520492,note,Waits at Orient Heights for last Blue Line train
60520492,trip_type,wait
60520901,note,Waits at Orient Heights for last Blue Line train
60520901,trip_type,wait
60564061,note,Waits at Park Street for last Red Line and Green Line trains
60564061,trip_type,wait
60564121,note,Waits at Park Street for last Red Line and Green Line trains
60564121,trip_type,wait
